City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
479,Catuday,PH,77.16,overcast clouds,16.2923,119.8062,GResort
480,Faanui,PF,80.38,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
482,Kisangani,CD,85.24,overcast clouds,0.5167,25.2,Grand Ramela Hotel
486,Corn Island,NI,80.92,clear sky,12.1694,-83.0418,Big Fish Guest House
498,Ambilobe,MG,76.98,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
499,Esmeraldas,BR,78.8,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
501,Luis Correia,BR,89.6,scattered clouds,-2.8792,-41.6669,Hotel Amarração
504,Panaba,MX,78.94,clear sky,21.2833,-88.2667,Hotel Don Fernando
507,Tucupita,VE,79.57,moderate rain,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
508,Menongue,AO,79.07,broken clouds,-14.6585,17.691,Ritz Lauca
509,Diego De Almagro,CL,85.05,clear sky,-26.3667,-70.05,hotel luna del desierto
512,Makasar,ID,75.2,few clouds,-5.14,119.4221,Aryaduta Makassar
520,Meulaboh,ID,77.65,scattered clouds,4.1363,96.1285,Kost Pria
521,Bambanglipuro,ID,78.42,overcast clouds,-7.95,110.2833,Puri Brata
525,Basoko,CD,87.51,broken clouds,1.2391,23.616,Flat Hotel La Benediction
528,Padang,ID,78.8,overcast clouds,-0.9492,100.3543,Mercure Padang
532,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
533,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
535,Gunjur,GM,89.6,broken clouds,13.2019,-16.7339,Kuba Lodge
536,Galle,LK,77.77,scattered clouds,6.0367,80.217,Amangalla
539,Thongwa,MM,75.2,clear sky,16.7619,96.5278,U Poe Sann
544,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
546,Conceicao Das Alagoas,BR,82.4,scattered clouds,-19.9147,-48.3883,Bouganville Hotel
549,Tamandare,BR,83.66,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
551,Sao Raimundo Nonato,BR,82.51,overcast clouds,-9.0153,-42.6994,Real Hotel
565,Caucaia,BR,86.0,light rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
570,Dingle,PH,75.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
572,Kismayo,SO,78.37,overcast clouds,-0.3582,42.5454,Agan-Hotel
574,Capanema,BR,87.53,light rain,-1.1958,-47.1808,Hotel Legal
586,Isangel,VU,77.5,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
588,Kirakira,SB,79.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
589,Altagracia De Orituco,VE,84.43,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
590,Kununurra,AU,77.0,light rain,-15.7667,128.7333,Hotel Kununurra
591,Iralaya,HN,81.3,light rain,15.0,-83.2333,Iglesia morava renovada
593,Parrita,CR,77.0,clear sky,9.5201,-84.3225,Beso del Viento
596,Bodden Town,KY,81.0,few clouds,19.2833,-81.25,Will T Place
600,Port Blair,IN,77.61,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
602,Matara,LK,76.23,few clouds,5.9485,80.5353,Amaloh Boutique Resort
603,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Pension Oaoa
606,Lucea,JM,82.0,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
608,Bonthe,SL,87.31,clear sky,7.5264,-12.505,Bonthe Holiday Village
610,Poum,NC,79.23,overcast clouds,-20.2333,164.0167,Gîte kajeon
612,Ayorou,NE,89.58,clear sky,14.7308,0.9174,Hotel Amenokal
619,Harper,LR,81.5,light rain,4.375,-7.7169,Screensaver
624,Calabar,NG,89.1,broken clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
627,Forbes,AU,79.14,clear sky,-33.3833,148.0167,Lake Forbes Motel
628,Quepos,CR,77.0,clear sky,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
629,Angoche,MZ,82.22,overcast clouds,-16.2325,39.9086,Guest House HESADA
630,Eyl,SO,75.33,broken clouds,7.9803,49.8164,Amiin Hotel
632,Tambongon,PH,78.71,overcast clouds,10.9677,123.9244,Mama Mary Healing Chapel
635,Dakar,SN,78.8,overcast clouds,14.6937,-17.4441,Novotel Dakar
641,Dogondoutchi,NE,89.55,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
644,Male,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
666,Buala,SB,78.51,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
667,Praia,CV,82.4,overcast clouds,14.9215,-23.5087,LT Aparthotel
673,Labuhan,ID,79.27,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
675,Maumere,ID,81.09,broken clouds,-8.6199,122.2111,Sylvia Hotel
677,Santos Reyes Nopala,MX,80.28,broken clouds,16.1092,-97.1561,HOTEL LA CASCADA
678,Anloga,GH,89.6,haze,5.7947,0.8973,Pin Drop Hotel
679,Tonantins,BR,80.53,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
687,Canutama,BR,84.13,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
689,Kipini,KE,82.4,clear sky,-2.5257,40.5262,Delta Sea Mall
701,Tecoanapa,MX,81.93,few clouds,16.5167,-98.75,Hotel Manglares
703,Port Moresby,PG,77.0,light rain,-9.4431,147.1797,Lamana Hotel
