City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Cape Town,ZA,2021-01-22 01:26:29,-33.9258,18.4232,66.0,82,0,3.44
94,La Ronge,CA,2021-01-22 01:35:33,55.1001,-105.2842,10.4,72,100,12.66
95,Capao Da Canoa,BR,2021-01-22 01:37:30,-29.7456,-50.0097,73.35,83,100,9.62
96,Bayburt,TR,2021-01-22 01:34:34,40.2589,40.2278,-0.94,77,5,1.83
97,Verkhnyaya Inta,RU,2021-01-22 01:39:09,65.9811,60.3094,-16.46,83,83,5.41
98,Kilmallock,IE,2021-01-22 01:39:09,52.4,-8.5772,35.6,93,40,4.61
99,Saint Anthony,US,2021-01-22 01:32:13,45.0205,-93.218,17.6,57,1,14.97
100,Stantsionno-Oyashinskiy,RU,2021-01-22 01:39:09,55.4664,83.8245,5.43,95,100,6.91
101,Qasigiannguit,GL,2021-01-22 01:39:09,68.8193,-51.1922,19.4,49,20,3.44
102,Jamestown,US,2021-01-22 01:26:35,42.097,-79.2353,35.01,75,90,19.57
103,Hilo,US,2021-01-22 01:30:03,19.7297,-155.09,71.6,78,90,4.61
104,Santa Cecilia,BR,2021-01-22 01:35:01,-26.9608,-50.4269,59.49,100,100,6.44
105,Saldanha,ZA,2021-01-22 01:31:44,-33.0117,17.9442,69.8,68,0,8.05
106,Nanortalik,GL,2021-01-22 01:31:02,60.1432,-45.2371,23.23,88,0,4.43
107,Torbay,CA,2021-01-22 01:31:12,47.6666,-52.7314,30.99,100,90,23.02
108,Port Lincoln,AU,2021-01-22 01:31:47,-34.7333,135.8667,75.34,38,0,8.41
109,Sao Jose Do Calcado,BR,2021-01-22 01:39:10,-21.0253,-41.6544,67.71,93,11,2.46
110,Port Elizabeth,ZA,2021-01-22 01:27:29,-33.918,25.5701,69.8,94,90,6.91
111,Sakti,IN,2021-01-22 01:39:10,22.0333,82.9667,58.23,38,21,2.73
112,Cururupu,BR,2021-01-22 01:39:10,-1.8283,-44.8683,77.56,83,100,4.68
113,Carnarvon,AU,2021-01-22 01:30:57,-24.8667,113.6333,82.4,78,90,12.66
114,Yamada,JP,2021-01-22 01:39:11,39.4667,141.95,42.6,80,100,5.26
115,Faya,SA,2021-01-22 01:39:11,18.3851,42.4509,50.0,40,0,5.82
116,Constitucion,CL,2021-01-22 01:31:31,-35.3333,-72.4167,57.83,90,12,1.43
117,Buraydah,SA,2021-01-22 01:39:11,26.326,43.975,39.2,75,0,3.44
118,Den Helder,NL,2021-01-22 01:39:11,52.9599,4.7593,43.0,75,75,13.8
119,Cidreira,BR,2021-01-22 01:31:12,-30.1811,-50.2056,74.23,85,99,18.52
120,Russell,US,2021-01-22 01:39:12,32.3502,-85.1999,57.99,100,90,8.05
121,Hasaki,JP,2021-01-22 01:31:19,35.7333,140.8333,50.0,53,20,3.44
122,Ngaoundere,CM,2021-01-22 01:39:12,7.3167,13.5833,61.11,30,77,4.92
123,Hofn,IS,2021-01-22 01:32:09,64.2539,-15.2082,27.99,89,0,23.29
124,Turukhansk,RU,2021-01-22 01:39:12,65.8167,87.9833,-42.39,74,0,8.14
125,Cap Malheureux,MU,2021-01-22 01:32:13,-19.9842,57.6142,77.0,81,29,3.0
126,Rio Grande,BR,2021-01-22 01:37:39,-32.035,-52.0986,72.0,79,73,1.99
127,Eureka,US,2021-01-22 01:30:52,40.8021,-124.1637,52.0,80,0,1.01
128,Port Alfred,ZA,2021-01-22 01:30:56,-33.5906,26.891,64.99,95,0,8.88
129,Bolshaya Rechka,RU,2021-01-22 01:39:13,51.9503,104.7355,5.0,85,0,8.95
130,Luderitz,NA,2021-01-22 01:31:21,-26.6481,15.1594,69.21,67,13,13.51
131,Rawson,AR,2021-01-22 01:28:40,-43.3002,-65.1023,75.96,46,0,12.37
132,Roma,US,2021-01-22 01:39:13,43.2128,-75.4557,36.0,64,90,5.75
133,Mandalgovi,MN,2021-01-22 01:39:13,45.7625,106.2708,10.45,86,0,5.93
134,Grand Gaube,MU,2021-01-22 01:31:12,-20.0064,57.6608,77.0,81,25,3.0
135,Kaitangata,NZ,2021-01-22 01:30:56,-46.2817,169.8464,64.99,53,62,18.01
136,Mecca,SA,2021-01-22 01:39:14,21.4267,39.8261,70.72,31,0,9.62
137,Ponta Delgada,PT,2021-01-22 01:39:14,37.7333,-25.6667,55.99,82,20,6.91
138,Saint-Pierre,RE,2021-01-22 01:32:15,-21.3393,55.4781,80.6,74,0,5.75
139,Leningradskiy,RU,2021-01-22 01:31:47,69.3833,178.4167,-13.22,87,100,10.2
140,Avon,US,2021-01-22 01:39:14,41.4517,-82.0354,37.99,65,40,13.8
141,Ocampo,MX,2021-01-22 01:39:15,21.65,-101.5,59.59,44,0,9.24
142,Dukat,RU,2021-01-22 01:39:15,62.55,155.55,-23.42,79,1,3.31
143,Malmedy,BE,2021-01-22 01:39:15,50.4269,6.0279,48.99,86,100,15.01
144,Hithadhoo,MV,2021-01-22 01:30:56,-0.6,73.0833,81.97,73,38,8.55
145,Sao Filipe,CV,2021-01-22 01:31:53,14.8961,-24.4956,72.84,71,100,8.66
146,High Prairie,CA,2021-01-22 01:39:15,55.4334,-116.4858,23.0,80,85,4.61
147,Kainantu,PG,2021-01-22 01:39:15,-6.2887,145.8655,75.36,66,100,3.29
148,Balikpapan,ID,2021-01-22 01:31:12,-1.2675,116.8289,75.2,94,40,4.61
149,Isangel,VU,2021-01-22 01:31:19,-19.55,169.2667,80.6,89,90,11.34
150,Kousseri,CM,2021-01-22 01:39:16,12.0769,15.0306,64.4,27,61,8.05
151,Tursunzoda,TJ,2021-01-22 01:39:16,38.5144,68.2333,26.6,100,90,13.42
152,Komsomolskiy,UZ,2021-01-22 01:39:16,40.4272,71.7189,35.6,64,75,39.12
153,Axim,GH,2021-01-22 01:39:16,4.8699,-2.2405,78.03,88,97,5.19
154,Sungaipenuh,ID,2021-01-22 01:39:16,-2.0833,101.3833,72.97,62,100,2.93
155,Chapais,CA,2021-01-22 01:39:16,49.7834,-74.8492,5.0,78,90,10.36
156,Gornyy,RU,2021-01-22 01:39:16,55.1153,83.9059,6.42,95,100,7.85
157,Uvalde,US,2021-01-22 01:39:16,29.3669,-99.767,59.0,88,1,3.44
158,Dauriya,RU,2021-01-22 01:39:17,49.9333,116.8667,-1.97,86,4,3.11
159,Saint-Leu,RE,2021-01-22 01:32:01,-21.15,55.2833,80.6,74,0,5.75
160,Vardo,NO,2021-01-22 01:31:52,70.3705,31.1107,22.37,95,100,22.44
161,Zhigansk,RU,2021-01-22 01:31:45,66.7697,123.3711,-38.99,80,100,5.95
162,Suoyarvi,RU,2021-01-22 01:39:17,62.0833,32.35,10.26,95,100,13.98
163,Jalu,LY,2021-01-22 01:31:20,29.0331,21.5482,44.29,60,0,7.56
164,Mogadishu,SO,2021-01-22 01:31:41,2.0371,45.3438,77.27,86,2,15.28
165,Brae,GB,2021-01-22 01:31:43,60.3964,-1.353,41.0,81,75,20.71
166,Toora-Khem,RU,2021-01-22 01:39:17,52.4675,96.11,2.98,91,86,1.77
167,Flinders,AU,2021-01-22 01:30:59,-34.5833,150.8552,86.0,60,7,3.0
168,Depok,ID,2021-01-22 01:39:18,-6.4,106.8186,86.0,78,40,5.75
169,Mar Del Plata,AR,2021-01-22 01:28:20,-38.0023,-57.5575,72.0,94,0,4.61
170,Ribeira Grande,PT,2021-01-22 01:31:08,38.5167,-28.7,59.65,71,100,8.5
171,Atuona,PF,2021-01-22 01:31:08,-9.8,-139.0333,78.57,77,84,14.0
172,Deputatskiy,RU,2021-01-22 01:39:18,69.3,139.9,-30.66,85,100,3.24
173,Dawei,MM,2021-01-22 01:39:19,14.0833,98.2,75.54,59,0,1.83
174,Homer,US,2021-01-22 01:35:15,59.6425,-151.5483,41.0,75,90,8.05
175,Kodiak,US,2021-01-22 01:30:55,57.79,-152.4072,41.0,87,90,14.97
176,Nemuro,JP,2021-01-22 01:31:57,43.3236,145.575,26.6,74,20,1.14
177,Mehamn,NO,2021-01-22 01:39:19,71.0357,27.8492,20.88,94,100,24.4
178,Mbandaka,CD,2021-01-22 01:39:19,0.0487,18.2603,74.7,70,21,3.09
179,Dubbo,AU,2021-01-22 01:36:50,-32.25,148.6167,87.8,35,0,11.5
180,Sakaiminato,JP,2021-01-22 01:39:20,35.55,133.2333,46.4,93,75,1.14
181,Kerouane,GN,2021-01-22 01:39:20,9.2667,-9.0167,67.06,26,82,1.28
182,Birao,CF,2021-01-22 01:39:20,10.2849,22.7882,64.11,27,67,9.17
183,Nizhniy Bestyakh,RU,2021-01-22 01:39:20,61.9594,129.9086,-58.0,51,90,2.55
184,Grafton,US,2021-01-22 01:39:20,42.207,-71.6856,27.0,68,90,9.22
185,Te Anau,NZ,2021-01-22 01:35:26,-45.4167,167.7167,63.3,55,41,7.81
186,Mattru,SL,2021-01-22 01:35:32,7.6244,-11.8332,73.81,92,7,1.72
187,Ancud,CL,2021-01-22 01:31:36,-41.8697,-73.8203,64.4,82,0,2.3
188,Adrar,MR,2021-01-22 01:31:57,20.5022,-10.0711,61.05,26,65,11.77
189,Mahebourg,MU,2021-01-22 01:30:59,-20.4081,57.7,78.8,78,40,5.75
190,Diapaga,BF,2021-01-22 01:39:21,12.0708,1.7889,68.04,22,1,9.73
191,Tiksi,RU,2021-01-22 01:31:29,71.6872,128.8694,-32.55,82,100,18.16
