City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
158,Port Alfred,ZA,-33.5906,26.891,72.0,89,44,8.01,scattered clouds
159,Oussouye,SN,12.485,-16.5469,96.8,50,0,9.22,clear sky
160,Talnakh,RU,69.4865,88.3972,-35.55,67,39,0.69,scattered clouds
161,Roald,NO,62.5833,6.1333,39.2,81,75,13.8,broken clouds
162,Georgetown,MY,5.4112,100.3354,80.01,89,20,2.33,few clouds
163,Boyolangu,ID,-8.1181,111.8935,77.27,80,100,1.99,overcast clouds
164,Bethanien,NA,-26.502,17.1583,92.46,24,99,15.17,overcast clouds
165,Morros,BR,-9.4467,-46.3003,90.7,40,29,10.65,scattered clouds
166,San Rafael,AR,-34.6177,-68.3301,93.52,20,0,14.47,clear sky
167,Vao,NC,-22.6667,167.4833,76.53,82,97,26.42,overcast clouds
168,Fukue,JP,32.6881,128.8419,56.37,87,91,26.13,light rain
169,Floro,NO,61.5996,5.0328,37.4,93,75,13.8,light rain
170,Mecca,SA,21.4267,39.8261,77.38,57,0,10.54,clear sky
171,Chinsali,ZM,-10.5414,32.0816,69.01,92,100,2.59,moderate rain
172,Corpus Christi,US,27.8006,-97.3964,64.4,100,90,13.8,mist
173,Lebu,CL,-37.6167,-73.65,64.94,80,47,19.04,scattered clouds
174,Sinnamary,GF,5.3833,-52.95,79.54,86,90,14.2,overcast clouds
175,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,13.8,snow
176,Bluff,NZ,-46.6,168.3333,54.0,66,96,7.0,light rain
177,Hebi,CN,35.8992,114.1925,37.38,66,100,1.7,overcast clouds
178,Lasa,IT,46.6166,10.7002,42.8,70,75,1.14,broken clouds
179,Codrington,AU,-38.2667,141.9667,60.46,66,29,5.82,scattered clouds
180,Auki,SB,-8.7676,160.7034,75.51,75,55,3.89,broken clouds
181,Kahului,US,20.8947,-156.47,71.6,73,75,14.97,light rain
182,East London,ZA,-33.0153,27.9116,91.4,55,0,6.91,clear sky
183,Marrakesh,MA,31.6315,-8.0083,71.6,49,0,4.61,clear sky
184,Nhulunbuy,AU,-12.2333,136.7667,77.0,100,75,5.75,broken clouds
185,Laguna,US,38.421,-121.4238,42.8,87,1,5.44,clear sky
186,Kulhudhuffushi,MV,6.6221,73.07,82.45,71,41,8.37,scattered clouds
187,Atar,MR,20.5169,-13.0499,86.0,19,1,11.5,clear sky
188,Nanortalik,GL,60.1432,-45.2371,25.97,88,0,5.39,clear sky
189,Kavaratti,IN,10.5669,72.642,81.72,70,7,10.65,clear sky
190,Manokwari,ID,-0.8667,134.0833,78.6,80,68,4.72,broken clouds
